Years_Experience,Education_Level,Job_Role,Location,Salary
11,Master's,Senior Developer,Suburban,119567.59
9,Bachelor's,Junior Developer,Suburban,90127.3
15,Bachelor's,Senior Developer,Urban,127747.07
7,Bachelor's,Junior Developer,Urban,85165.56
5,Bachelor's,Technical Lead,Suburban,121048.14
11,High School,Manager,Urban,140744.69
20,Bachelor's,Junior Developer,Rural,111710.84
7,Bachelor's,Senior Developer,Urban,111949.35
3,PhD,Senior Developer,Urban,123438.65
7,Bachelor's,Junior Developer,Urban,83824.83
17,Bachelor's,Senior Developer,Metro,152620.42
4,Bachelor's,Technical Lead,Urban,116186.56
8,Bachelor's,Senior Developer,Metro,125300.18
3,Bachelor's,Junior Developer,Metro,91542.2
16,Bachelor's,Manager,Urban,173756.65
8,Master's,Senior Developer,Urban,128844.35
0,Master's,Manager,Rural,106022.89
20,Bachelor's,Senior Developer,Suburban,139500.14
19,Master's,Senior Developer,Urban,158212.22
12,Bachelor's,Junior Developer,Suburban,91333.76
15,Bachelor's,Junior Developer,Suburban,100023.3
12,High School,Director,Metro,193057.25
13,PhD,Junior Developer,Metro,154642.57
2,High School,Director,Urban,140503.08
5,Bachelor's,Senior Developer,Suburban,94937.03
17,High School,Junior Developer,Rural,91534.98
18,Bachelor's,Junior Developer,Rural,109075.3
4,Bachelor's,Junior Developer,Suburban,66825.35
14,Bachelor's,Manager,Rural,143410.89
1,High School,Senior Developer,Rural,54555.3
9,High School,Senior Developer,Metro,116039.37
17,Bachelor's,Junior Developer,Urban,121626.97
12,Bachelor's,Junior Developer,Suburban,96017.94
4,Bachelor's,Senior Developer,Rural,80241.28
0,Bachelor's,Junior Developer,Urban,70207.32
0,Bachelor's,Manager,Rural,94612.05
17,High School,Senior Developer,Metro,143126.7
14,Bachelor's,Senior Developer,Suburban,118764.38
16,PhD,Senior Developer,Suburban,172883.01
10,Bachelor's,Senior Developer,Suburban,105348.54
20,Bachelor's,Director,Rural,188197.39
16,Bachelor's,Senior Developer,Urban,141730.59
12,Bachelor's,Junior Developer,Urban,103682.14
0,Bachelor's,Senior Developer,Urban,90532.18
1,High School,Junior Developer,Rural,38812.09
8,High School,Junior Developer,Urban,78987.24
2,High School,Director,Urban,138388.98
0,PhD,Technical Lead,Metro,149844.65
20,Master's,Director,Suburban,212430.72
15,Bachelor's,Senior Developer,Suburban,124302.41
5,Bachelor's,Senior Developer,Urban,99672.48
16,Master's,Junior Developer,Urban,130763.07
4,Bachelor's,Junior Developer,Suburban,65423.54
4,Bachelor's,Manager,Suburban,122823.6
5,PhD,Senior Developer,Suburban,129789.45
2,Bachelor's,Manager,Metro,133582.7
20,Bachelor's,Technical Lead,Suburban,157959.31
4,PhD,Junior Developer,Metro,126511.67
20,Bachelor's,Senior Developer,Urban,156061.46
4,High School,Technical Lead,Metro,126746.65
9,Bachelor's,Junior Developer,Urban,90189.03
9,Master's,Manager,Suburban,152825.22
18,Master's,Senior Developer,Metro,170353.79
16,Master's,Junior Developer,Rural,111031.24
20,High School,Senior Developer,Metro,154018.85
13,Master's,Director,Urban,199676.17
8,Master's,Junior Developer,Rural,89986.8
13,Bachelor's,Manager,Urban,164295.85
0,PhD,Junior Developer,Metro,118845.14
18,Master's,Technical Lead,Rural,150224.34
12,Bachelor's,Technical Lead,Urban,144481.37
12,Bachelor's,Junior Developer,Urban,97659.08
3,Bachelor's,Junior Developer,Urban,73538.88
0,Bachelor's,Technical Lead,Suburban,87410.0
16,Bachelor's,Senior Developer,Suburban,130001.07
7,Bachelor's,Technical Lead,Rural,110277.24
1,Master's,Junior Developer,Urban,81469.6
7,PhD,Manager,Suburban,159235.41
6,Master's,Technical Lead,Metro,153456.13
1,High School,Manager,Rural,84154.31
2,Bachelor's,Junior Developer,Urban,69082.15
17,High School,Senior Developer,Rural,104590.34
11,Bachelor's,Senior Developer,Suburban,111384.64
0,Master's,Senior Developer,Suburban,87670.77
11,PhD,Senior Developer,Suburban,143663.05
4,Bachelor's,Junior Developer,Urban,81887.23
16,Master's,Technical Lead,Metro,188053.19
15,Master's,Senior Developer,Urban,153801.92
14,Bachelor's,Junior Developer,Metro,125040.55
14,Master's,Technical Lead,Metro,179190.36
4,Bachelor's,Senior Developer,Urban,100555.39
20,Bachelor's,Junior Developer,Urban,124303.26
13,Bachelor's,Director,Urban,187121.21
1,Bachelor's,Manager,Rural,98739.61
10,Bachelor's,Senior Developer,Urban,116956.75
18,Bachelor's,Junior Developer,Rural,104436.24
6,Bachelor's,Technical Lead,Urban,125322.08
5,Bachelor's,Senior Developer,Urban,99054.69
1,Bachelor's,Junior Developer,Rural,49595.9
5,Bachelor's,Senior Developer,Suburban,90443.8
17,Bachelor's,Senior Developer,Metro,143923.03
1,Bachelor's,Senior Developer,Urban,84611.72
17,High School,Senior Developer,Suburban,119755.66
14,Bachelor's,Senior Developer,Urban,136167.57
18,Bachelor's,Manager,Urban,164891.19
1,Bachelor's,Senior Developer,Urban,86718.43
19,Master's,Technical Lead,Metro,195525.82
5,Bachelor's,Manager,Urban,136512.78
0,Bachelor's,Senior Developer,Suburban,75319.55
14,PhD,Senior Developer,Urban,162068.87
9,Master's,Senior Developer,Metro,146678.84
18,Master's,Senior Developer,Rural,140784.37
16,Master's,Manager,Suburban,174634.47
4,High School,Senior Developer,Suburban,75927.74
3,High School,Director,Urban,149054.78
9,Bachelor's,Junior Developer,Urban,88019.73
16,Bachelor's,Junior Developer,Urban,122724.92
9,Bachelor's,Senior Developer,Metro,128533.87
16,Bachelor's,Junior Developer,Urban,118715.74
19,Bachelor's,Junior Developer,Rural,104018.99
4,Master's,Junior Developer,Suburban,75543.89
1,Master's,Junior Developer,Suburban,73630.82
5,Bachelor's,Junior Developer,Suburban,75205.58
20,Master's,Director,Urban,226810.77
1,Bachelor's,Junior Developer,Metro,85579.11
12,Master's,Technical Lead,Suburban,149872.65
10,High School,Technical Lead,Urban,123304.85
10,PhD,Manager,Urban,185069.9
15,Bachelor's,Junior Developer,Suburban,100857.51
10,Bachelor's,Manager,Suburban,143428.26
18,Bachelor's,Senior Developer,Suburban,134264.07
14,Bachelor's,Senior Developer,Rural,111597.16
15,Bachelor's,Senior Developer,Metro,151463.71
10,Bachelor's,Manager,Rural,133005.87
15,Bachelor's,Junior Developer,Suburban,108082.55
7,Bachelor's,Technical Lead,Urban,126118.17
3,Bachelor's,Senior Developer,Metro,112650.68
7,PhD,Technical Lead,Suburban,149140.84
3,Bachelor's,Director,Rural,139751.61
2,Bachelor's,Junior Developer,Rural,47699.35
2,High School,Director,Suburban,131025.28
17,Master's,Junior Developer,Suburban,121116.44
18,Bachelor's,Junior Developer,Urban,128079.74
18,PhD,Junior Developer,Suburban,152060.67
20,Master's,Junior Developer,Rural,124795.99
4,Bachelor's,Senior Developer,Urban,100464.44
17,High School,Junior Developer,Suburban,102216.71
9,Master's,Junior Developer,Suburban,103284.46
20,Master's,Manager,Suburban,184149.24
5,Bachelor's,Manager,Metro,144001.3
0,Bachelor's,Manager,Suburban,109589.07
4,Master's,Manager,Metro,148365.09
8,Bachelor's,Technical Lead,Urban,136238.61
11,Master's,Junior Developer,Rural,92359.25
13,Bachelor's,Senior Developer,Metro,140639.09
1,High School,Technical Lead,Suburban,91864.21
16,Master's,Junior Developer,Rural,109537.96
13,Bachelor's,Technical Lead,Urban,151189.64
12,Bachelor's,Junior Developer,Urban,109955.64
8,High School,Junior Developer,Urban,81040.13
14,High School,Senior Developer,Suburban,111045.79
14,Bachelor's,Senior Developer,Suburban,121322.26
10,Bachelor's,Senior Developer,Urban,119462.39
15,Bachelor's,Technical Lead,Suburban,140534.38
16,Master's,Junior Developer,Suburban,120025.05
3,Bachelor's,Junior Developer,Rural,51447.18
0,Bachelor's,Manager,Suburban,103404.93
7,Bachelor's,Technical Lead,Metro,134388.2
16,Master's,Junior Developer,Suburban,122255.71
2,Master's,Manager,Metro,156166.41
19,Bachelor's,Junior Developer,Suburban,115975.58
14,Bachelor's,Senior Developer,Urban,135660.53
14,Bachelor's,Junior Developer,Suburban,106302.77
13,Master's,Technical Lead,Suburban,146803.45
13,Master's,Technical Lead,Suburban,147664.82
1,Bachelor's,Junior Developer,Suburban,64163.19
12,Master's,Manager,Urban,168030.63
13,Master's,Senior Developer,Metro,149436.84
18,High School,Junior Developer,Urban,110052.56
6,Bachelor's,Junior Developer,Suburban,77878.64
2,Bachelor's,Junior Developer,Rural,50224.25
14,Bachelor's,Junior Developer,Rural,80701.85
13,Master's,Senior Developer,Urban,140311.95
10,Bachelor's,Manager,Urban,148036.03
14,Bachelor's,Senior Developer,Metro,144836.91
12,Bachelor's,Junior Developer,Rural,90435.53
17,Bachelor's,Junior Developer,Urban,121614.09
5,Bachelor's,Junior Developer,Suburban,73971.75
2,Bachelor's,Senior Developer,Urban,97622.15
18,Bachelor's,Technical Lead,Urban,164641.38
14,Bachelor's,Junior Developer,Urban,120346.08
4,Bachelor's,Technical Lead,Urban,114745.17
9,High School,Manager,Rural,110063.41
6,High School,Senior Developer,Urban,96655.83
16,Bachelor's,Manager,Rural,153217.25
6,Bachelor's,Senior Developer,Urban,105396.82
11,Bachelor's,Senior Developer,Suburban,108157.52
16,Bachelor's,Senior Developer,Urban,145243.96
12,Bachelor's,Senior Developer,Metro,135230.52
19,Master's,Junior Developer,Metro,155156.22
3,High School,Junior Developer,Urban,69856.61
9,Bachelor's,Junior Developer,Urban,94033.58
2,Master's,Senior Developer,Urban,103911.49
8,Bachelor's,Junior Developer,Urban,90385.25
12,Bachelor's,Manager,Metro,172006.21
17,Master's,Technical Lead,Suburban,168640.59
14,Master's,Senior Developer,Metro,157934.9
3,Bachelor's,Junior Developer,Metro,97132.33
14,Bachelor's,Manager,Urban,161927.87
1,Bachelor's,Manager,Suburban,115369.33
14,Bachelor's,Technical Lead,Rural,130071.99
7,Bachelor's,Junior Developer,Metro,111735.03
7,Bachelor's,Senior Developer,Suburban,105680.53
16,Bachelor's,Junior Developer,Metro,130688.1
11,Bachelor's,Junior Developer,Suburban,97938.16
18,Master's,Technical Lead,Suburban,173135.92
9,Bachelor's,Technical Lead,Metro,155012.16
8,High School,Senior Developer,Urban,90672.05
4,Bachelor's,Manager,Urban,132677.41
5,Bachelor's,Senior Developer,Urban,105169.2
19,Bachelor's,Senior Developer,Suburban,139684.29
1,Bachelor's,Junior Developer,Urban,71073.39
12,Bachelor's,Manager,Suburban,146391.25
5,Bachelor's,Junior Developer,Metro,101132.56
4,Bachelor's,Manager,Metro,144957.89
0,High School,Manager,Suburban,95867.63
20,Bachelor's,Junior Developer,Urban,135557.52
20,Bachelor's,Senior Developer,Urban,152672.1
5,PhD,Manager,Suburban,158054.27
5,Bachelor's,Senior Developer,Metro,123468.15
15,Bachelor's,Manager,Rural,143262.08
3,Bachelor's,Manager,Suburban,110537.16
10,High School,Senior Developer,Urban,107289.45
8,PhD,Senior Developer,Urban,146458.17
2,Bachelor's,Manager,Urban,126286.12
18,Master's,Technical Lead,Urban,178029.26
7,Bachelor's,Junior Developer,Urban,92420.48
4,Bachelor's,Junior Developer,Urban,89818.47
3,Bachelor's,Senior Developer,Rural,79806.06
5,Master's,Manager,Suburban,139909.26
1,High School,Manager,Suburban,97681.87
19,Bachelor's,Technical Lead,Suburban,152258.97
10,PhD,Junior Developer,Urban,122807.55
3,Bachelor's,Junior Developer,Suburban,64525.28
14,Bachelor's,Manager,Suburban,141478.51
5,High School,Junior Developer,Suburban,63054.2
16,PhD,Junior Developer,Metro,162668.73
5,High School,Junior Developer,Metro,78746.5
18,Master's,Technical Lead,Urban,178123.5
1,Master's,Manager,Metro,143245.47
14,Bachelor's,Junior Developer,Urban,113603.11
10,Bachelor's,Senior Developer,Urban,121830.51
7,High School,Senior Developer,Rural,74592.66
18,Bachelor's,Director,Urban,203650.88
12,Master's,Junior Developer,Urban,119259.58
11,Master's,Senior Developer,Urban,129571.83
4,Bachelor's,Senior Developer,Urban,100659.23
5,Bachelor's,Manager,Urban,127275.93
3,Bachelor's,Senior Developer,Urban,98862.87
18,High School,Junior Developer,Metro,123859.35
19,High School,Senior Developer,Suburban,120053.83
0,Bachelor's,Technical Lead,Urban,104680.11
19,Bachelor's,Junior Developer,Suburban,115649.3
16,Bachelor's,Manager,Urban,172474.08
11,Bachelor's,Junior Developer,Urban,102893.22
14,Bachelor's,Senior Developer,Rural,107974.89
0,Bachelor's,Senior Developer,Urban,93596.27
13,Master's,Technical Lead,Suburban,154105.96
5,Bachelor's,Senior Developer,Urban,101654.71
4,PhD,Manager,Suburban,146584.66
10,Master's,Technical Lead,Urban,150301.63
3,Bachelor's,Senior Developer,Rural,75717.95
12,Master's,Technical Lead,Urban,159876.13
10,Bachelor's,Technical Lead,Suburban,131429.03
2,Bachelor's,Junior Developer,Metro,89626.33
0,Bachelor's,Senior Developer,Metro,93554.13
5,Bachelor's,Manager,Metro,146834.02
17,Bachelor's,Junior Developer,Urban,120761.54
9,Bachelor's,Technical Lead,Urban,146511.91
4,Bachelor's,Director,Suburban,150058.78
9,Bachelor's,Junior Developer,Suburban,83309.39
11,Bachelor's,Technical Lead,Suburban,132641.48
1,Master's,Senior Developer,Urban,103165.73
12,High School,Senior Developer,Metro,118443.84
7,Bachelor's,Junior Developer,Suburban,81033.22
1,Master's,Junior Developer,Metro,94957.77
19,Bachelor's,Technical Lead,Urban,167693.24
0,High School,Manager,Urban,101505.73
4,Bachelor's,Technical Lead,Suburban,105424.34
8,Bachelor's,Senior Developer,Rural,96115.53
16,PhD,Junior Developer,Urban,155633.83
8,Bachelor's,Technical Lead,Urban,134272.39
10,PhD,Junior Developer,Suburban,114756.81
14,Bachelor's,Manager,Urban,163732.25
5,Bachelor's,Manager,Metro,138816.25
2,Bachelor's,Technical Lead,Urban,110755.3
16,Bachelor's,Manager,Metro,184662.23
4,High School,Junior Developer,Suburban,60430.39
11,Master's,Technical Lead,Suburban,147027.87
17,Master's,Junior Developer,Urban,139651.61
13,Bachelor's,Manager,Suburban,150840.06
20,PhD,Junior Developer,Rural,135923.92
10,Master's,Technical Lead,Suburban,140521.88
8,Bachelor's,Manager,Suburban,132433.57
1,High School,Junior Developer,Suburban,47565.03
11,Bachelor's,Senior Developer,Suburban,109731.46
2,Bachelor's,Technical Lead,Suburban,99279.38
2,Bachelor's,Senior Developer,Rural,83002.98
0,High School,Junior Developer,Urban,53445.02
7,Master's,Junior Developer,Urban,111806.41
7,High School,Junior Developer,Urban,72834.84
10,Bachelor's,Manager,Suburban,141628.24
8,PhD,Senior Developer,Suburban,136518.57
4,Master's,Junior Developer,Urban,89112.2
13,Bachelor's,Senior Developer,Urban,126729.77
2,Master's,Senior Developer,Urban,106339.48
20,High School,Junior Developer,Suburban,105623.53
4,High School,Senior Developer,Metro,99775.44
4,Bachelor's,Junior Developer,Suburban,60340.39
18,Bachelor's,Junior Developer,Suburban,117446.06
13,Bachelor's,Technical Lead,Urban,153508.61
3,Bachelor's,Junior Developer,Urban,78417.45
12,Bachelor's,Senior Developer,Suburban,124457.03
9,Bachelor's,Senior Developer,Suburban,108528.38
17,Bachelor's,Senior Developer,Urban,145971.24
7,Master's,Technical Lead,Suburban,137353.45
7,Bachelor's,Senior Developer,Rural,78395.95
6,Bachelor's,Manager,Suburban,127894.69
7,Bachelor's,Technical Lead,Urban,123868.26
13,Bachelor's,Senior Developer,Rural,103876.39
18,High School,Manager,Metro,171572.11
5,Master's,Senior Developer,Urban,114749.14
0,Bachelor's,Junior Developer,Metro,82601.84
14,Bachelor's,Junior Developer,Metro,126535.96
0,Bachelor's,Junior Developer,Suburban,56949.67
16,Bachelor's,Manager,Suburban,161090.73
0,Bachelor's,Technical Lead,Suburban,100133.95
14,Bachelor's,Manager,Suburban,153570.5
1,Bachelor's,Senior Developer,Urban,83301.98
13,Bachelor's,Senior Developer,Suburban,115642.67
20,Bachelor's,Junior Developer,Suburban,121105.31
7,Bachelor's,Technical Lead,Suburban,122333.81
7,Master's,Senior Developer,Metro,130085.68
18,Master's,Director,Suburban,207554.62
6,Master's,Junior Developer,Rural,72937.5
18,Bachelor's,Senior Developer,Rural,128703.67
5,Bachelor's,Technical Lead,Metro,136969.39
5,Bachelor's,Senior Developer,Urban,97615.46
2,Bachelor's,Senior Developer,Suburban,77989.09
6,Bachelor's,Technical Lead,Suburban,117749.73
18,Bachelor's,Junior Developer,Suburban,120099.2
7,Bachelor's,Technical Lead,Rural,105012.86
9,PhD,Senior Developer,Metro,164946.42
19,Bachelor's,Manager,Urban,175631.05
14,High School,Manager,Suburban,143092.78
14,Bachelor's,Junior Developer,Metro,127532.76
0,Master's,Junior Developer,Suburban,70621.2
19,Bachelor's,Director,Urban,200462.43
6,Bachelor's,Senior Developer,Metro,121924.74
3,Bachelor's,Manager,Suburban,118608.08
5,Bachelor's,Junior Developer,Urban,84641.72
0,Bachelor's,Senior Developer,Suburban,77782.7
4,Master's,Manager,Suburban,129284.85
0,Bachelor's,Manager,Rural,101331.85
3,Bachelor's,Junior Developer,Suburban,70192.56
1,High School,Technical Lead,Urban,93898.31
9,High School,Senior Developer,Metro,122057.18
4,Bachelor's,Junior Developer,Urban,80326.68
9,Bachelor's,Technical Lead,Metro,149316.55
0,Bachelor's,Technical Lead,Urban,106294.58
5,Bachelor's,Manager,Suburban,122688.03
12,Bachelor's,Senior Developer,Suburban,120883.6
14,High School,Junior Developer,Rural,83932.3
3,High School,Junior Developer,Urban,68647.39
12,Master's,Senior Developer,Metro,152138.26
19,Bachelor's,Junior Developer,Rural,111356.69
14,Bachelor's,Technical Lead,Urban,148462.75
7,Master's,Senior Developer,Urban,124733.77
4,Bachelor's,Manager,Urban,129186.05
14,Master's,Director,Suburban,186560.78
3,Bachelor's,Senior Developer,Suburban,80255.59
11,PhD,Manager,Rural,162548.08
12,High School,Technical Lead,Suburban,125060.62
1,High School,Senior Developer,Rural,55551.68
18,Bachelor's,Junior Developer,Urban,122235.53
18,PhD,Senior Developer,Rural,160653.04
3,Master's,Senior Developer,Metro,120379.95
3,High School,Manager,Urban,119923.23
10,Bachelor's,Senior Developer,Urban,123660.49
4,PhD,Manager,Suburban,152887.53
19,Bachelor's,Technical Lead,Urban,170813.85
10,Master's,Junior Developer,Metro,127468.96
9,Master's,Director,Rural,167817.34
7,Bachelor's,Senior Developer,Suburban,102846.54
5,Bachelor's,Senior Developer,Urban,107035.61
5,Bachelor's,Technical Lead,Rural,99190.26
7,Bachelor's,Junior Developer,Rural,70014.19
14,Master's,Senior Developer,Suburban,135370.02
